mail,shop_id,score,review_text,date_added
Janeen5799@hotmail.com,4,4,,2022-2-24
John8213@hotmail.com,16,8,Хорошо! Это хороший магазин.,2016-9-17
Anne9184@hotmail.com,13,5,,2015-1-6
Susan3853@hotmail.com,17,0,,2023-9-10
Margret8486@gmail.com,15,4,Хорошо! Это хороший магазин.,2023-7-22
Marcella2847@gmail.com,5,10,Хорошо! Это хороший магазин.,2013-7-11
Al3246@hotmail.com,1,3,Отлично! Это невероятно хороший магазин.,2018-3-7
James5757@hotmail.com,20,0,Хорошо! Это хороший магазин.,2015-11-10
Travis1997@hotmail.com,2,3,,2013-6-11
Jeffery1737@hotmail.com,18,7,Отлично! Это невероятно хороший магазин.,2020-5-24
Brandi7370@gmail.com,5,10,,2010-12-11
Wilma1778@gmail.com,13,4,Это ну такое.,2022-1-23
Ted9993@hotmail.com,19,5,Хорошо! Это хороший магазин.,2015-5-8
Mary6790@gmail.com,10,9,,2010-7-1
Cyndy7611@hotmail.com,9,8,Средненько! Это средний по сервису магазин.,2018-12-24
Annie1446@hotmail.com,21,0,,2014-10-9
Sonia8683@hotmail.com,7,4,ФУ. Не куплю в этом магазине больше ничего.,2012-4-13
Matthew8289@hotmail.com,8,0,ФУ. Не куплю в этом магазине больше ничего.,2016-6-22
Gail7528@hotmail.com,18,1,Ну неплохо.,2013-3-27
Harry3775@hotmail.com,21,6,,2017-4-13
George3421@hotmail.com,16,1,,2011-11-25
Naomi8066@gmail.com,7,6,Прекрасный магазин.,2019-2-9
Johnnie6421@gmail.com,16,5,,2023-8-6
Sarah6287@gmail.com,13,4,,2017-1-7
Martin6367@hotmail.com,15,10,Это ну такое.,2022-3-1
Ollie2071@gmail.com,7,3,,2013-10-1
Stacey2762@hotmail.com,17,9,,2022-6-26
Elton4042@hotmail.com,11,7,Хороший магазин.,2021-8-22
Tony9890@hotmail.com,1,8,,2023-2-26
Martha1959@gmail.com,4,8,,2016-9-11
Richard8554@gmail.com,10,4,,2012-9-16
Viola7240@hotmail.com,16,4,Прекрасный магазин.,2018-1-8
James3754@gmail.com,17,0,Отлично! Это невероятно хороший магазин.,2022-11-4
Vilma9890@gmail.com,6,7,,2010-1-19
Tiffany2980@gmail.com,17,10,,2011-9-14
Kesha7262@hotmail.com,18,7,,2021-6-13
Jason8656@hotmail.com,1,1,ФУ. Не куплю в этом магазине больше ничего.,2023-8-20
Roy3692@hotmail.com,10,7,,2010-11-10
Felix8665@gmail.com,1,3,,2023-2-8
Brittney9856@gmail.com,2,9,,2022-7-26
Linda6562@hotmail.com,2,8,,2022-4-28
Diane6039@gmail.com,3,4,Ну неплохо.,2011-2-25
Lavonne8668@hotmail.com,21,7,,2013-10-16
John8510@gmail.com,15,6,,2019-1-4
Lori8290@hotmail.com,7,4,,2022-8-21
Rosie1054@gmail.com,12,0,Плохо! Мне не понравился магазин.,2019-8-23
Raymond2098@hotmail.com,17,5,,2023-3-9
Denise6975@hotmail.com,11,8,Плохо! Мне не понравился магазин.,2021-3-28
Kathleen8542@gmail.com,7,7,,2010-7-12
Bonnie7732@hotmail.com,19,4,,2023-2-17
Sandra6388@gmail.com,12,7,Плохо! Мне не понравился магазин.,2011-10-22
Peggy4552@hotmail.com,14,4,На самом деле хороший магазин!,2020-9-8
Amanda4316@gmail.com,18,3,,2012-11-15
Leonard7687@hotmail.com,13,4,Это ну такое.,2010-6-1
Angelo4137@gmail.com,16,0,,2021-11-7
Diana9260@gmail.com,17,1,Прекрасный магазин.,2016-9-10
Thelma1477@hotmail.com,20,1,,2015-5-2
Ella8395@gmail.com,19,8,,2019-9-23
Rosemarie4875@gmail.com,15,10,Средненько! Это средний по сервису магазин.,2015-9-18
Hector7937@gmail.com,8,2,,2019-9-1
Geraldine2281@gmail.com,1,2,Средненько! Это средний по сервису магазин.,2010-3-10
Dean2993@hotmail.com,20,3,Плохо! Мне не понравился магазин.,2021-6-23
Rebecca1822@hotmail.com,12,0,,2012-9-5
Terrance8090@hotmail.com,9,8,Отлично! Это невероятно хороший магазин.,2012-7-22
Mary1051@gmail.com,7,7,,2015-6-5
Lisa6137@gmail.com,6,5,,2022-9-1
Laura5022@gmail.com,9,6,,2013-8-6
Danial5410@hotmail.com,11,2,,2014-8-14
William7970@hotmail.com,10,9,Ну неплохо.,2021-2-14
Aaron6714@hotmail.com,8,0,,2016-11-10
Julie7312@gmail.com,21,8,,2016-10-12
Theresa3042@hotmail.com,8,1,ФУ. Не куплю в этом магазине больше ничего.,2020-9-25
Nichole9732@hotmail.com,1,9,,2014-10-13
Mathew3121@hotmail.com,5,9,,2023-6-13
Rhonda2748@gmail.com,2,8,Хорошо! Это хороший магазин.,2019-7-22
Elizabeth8495@hotmail.com,10,5,Плохо! Мне не понравился магазин.,2020-10-21
Marvin5018@gmail.com,19,7,,2016-12-24
Justin9640@hotmail.com,6,6,,2015-2-17
Gus8242@hotmail.com,12,2,,2017-3-8
Patricia4971@gmail.com,22,5,,2020-1-18
Bryan4086@hotmail.com,15,3,ФУ. Не куплю в этом магазине больше ничего.,2014-1-28
Earlene8890@gmail.com,3,3,,2018-6-5
Lloyd4795@gmail.com,3,1,Отлично! Это невероятно хороший магазин.,2016-7-8
Clara1620@gmail.com,21,10,Это ну такое.,2016-3-25
Lauren7139@hotmail.com,7,10,Это ну такое.,2014-10-13
Christy1937@gmail.com,8,1,,2022-7-16
Beatrice5931@hotmail.com,14,10,,2023-4-4
Angela7326@gmail.com,20,6,Прекрасный магазин.,2021-2-13
Jack3877@gmail.com,13,6,Прекрасный магазин.,2012-11-12
Arthur2978@hotmail.com,9,0,Плохо! Мне не понравился магазин.,2015-8-25
Cristal1499@gmail.com,21,2,Просто средний магазин.,2015-10-7
Mark5259@gmail.com,18,3,,2012-8-17
Dale3693@gmail.com,7,2,Плохо! Мне не понравился магазин.,2020-8-28
Eunice4594@hotmail.com,16,1,На самом деле хороший магазин!,2011-12-21
George5056@hotmail.com,17,6,,2022-12-28
David9648@gmail.com,14,3,ФУ. Не куплю в этом магазине больше ничего.,2016-4-26
Darrell9411@hotmail.com,10,8,Прекрасный магазин.,2020-8-11
Nathan6778@gmail.com,9,3,Просто средний магазин.,2017-11-22
Vivan8384@gmail.com,3,2,Средненько! Это средний по сервису магазин.,2013-8-3
Kathy5549@gmail.com,19,8,,2022-6-2
Sherry9227@gmail.com,6,10,Отлично! Это невероятно хороший магазин.,2013-9-5
Robert2510@hotmail.com,18,5,,2017-7-13
Richard4175@gmail.com,2,2,,2016-8-16
Patricia5547@hotmail.com,15,7,На самом деле хороший магазин!,2019-5-27
Jeanne6078@gmail.com,22,7,Плохо! Мне не понравился магазин.,2015-4-28
Timothy9483@hotmail.com,3,7,,2016-1-10
Gary5428@hotmail.com,22,10,"На самом деле прекрасный магазин, мне все понраивлос!",2016-2-25
Stephanie6149@hotmail.com,1,1,,2014-2-12
Ora3915@hotmail.com,9,2,Отлично! Это невероятно хороший магазин.,2021-9-10
Richard7159@hotmail.com,10,5,,2017-2-21
Joi4563@hotmail.com,1,10,,2019-1-26
Ruth7657@gmail.com,7,3,Это ну такое.,2012-4-2
Ronald3296@gmail.com,8,4,Это ну такое.,2012-10-11
Carol3528@hotmail.com,7,8,,2021-5-22
Bryan5974@gmail.com,18,0,,2018-4-9
Agnes8345@hotmail.com,14,6,,2013-9-9
Anthony8022@hotmail.com,20,6,,2012-4-17
Barry3429@hotmail.com,17,7,Плохо! Мне не понравился магазин.,2019-1-5
Gwyneth1823@hotmail.com,16,7,,2013-11-14
Diana1644@gmail.com,12,7,Это ну такое.,2013-7-5
Frances1912@gmail.com,1,4,,2013-5-19
William8142@gmail.com,22,9,,2015-9-11
Darlene9537@gmail.com,15,3,,2013-1-6
Amelia8924@gmail.com,13,1,,2018-4-24
John7483@hotmail.com,12,9,,2011-1-10
Bryan4879@gmail.com,20,0,Плохо! Мне не понравился магазин.,2019-11-10
Norman7121@hotmail.com,10,1,,2013-3-4
Ruth8714@gmail.com,12,4,ФУ. Не куплю в этом магазине больше ничего.,2018-9-1
Gordon2144@gmail.com,10,3,,2012-9-16
Glenn3910@hotmail.com,12,5,,2018-4-25
Linda4586@gmail.com,1,5,ФУ. Не куплю в этом магазине больше ничего.,2010-5-8
Edward6070@hotmail.com,22,0,Плохо! Мне не понравился магазин.,2013-6-25
Frank6467@hotmail.com,18,9,,2021-11-18
Patrick8989@gmail.com,0,1,,2010-5-7
Virginia3855@hotmail.com,14,10,ФУ. Не куплю в этом магазине больше ничего.,2014-1-11
John6342@gmail.com,13,2,,2012-4-18
Alberta4170@hotmail.com,9,9,,2015-5-23
Ray2869@hotmail.com,12,2,ФУ. Не куплю в этом магазине больше ничего.,2012-3-20
Mark9313@gmail.com,13,6,Прекрасный магазин.,2022-11-13
Barbra3125@hotmail.com,16,2,,2014-12-6
Francisco3523@gmail.com,6,0,,2018-3-22
Cathleen3360@hotmail.com,17,3,Отлично! Это невероятно хороший магазин.,2018-5-21
Constance9922@hotmail.com,9,0,,2020-5-13
Michael8760@hotmail.com,7,6,Прекрасный магазин.,2020-6-23
Jonathan4424@hotmail.com,9,9,,2019-8-9
Craig4354@gmail.com,1,8,,2017-1-1
Robert8132@hotmail.com,17,8,ФУ. Не куплю в этом магазине больше ничего.,2013-4-13
Donald5783@hotmail.com,4,6,,2015-6-8
Jacquelyn3981@gmail.com,20,6,ФУ. Не куплю в этом магазине больше ничего.,2023-3-16
Jason7424@gmail.com,4,0,,2023-11-7
Corinne5960@hotmail.com,0,9,Хороший магазин.,2020-7-11
Mary1611@hotmail.com,6,3,,2015-2-11
Carolyn5393@hotmail.com,6,10,,2023-3-20
Sharon5597@hotmail.com,6,1,,2016-10-18
Kesha3499@gmail.com,21,6,,2022-2-8
Brandy6222@hotmail.com,8,0,,2013-1-10
Dante6889@hotmail.com,1,7,,2020-9-3
June8020@gmail.com,18,2,Плохо! Мне не понравился магазин.,2021-3-22
Brian6719@hotmail.com,10,5,,2016-3-22
Gwendolyn4862@gmail.com,16,0,Средненько! Это средний по сервису магазин.,2016-2-26
Linda1516@gmail.com,19,9,ФУ. Не куплю в этом магазине больше ничего.,2023-11-25
Tomiko1835@hotmail.com,18,1,,2021-9-11
Brittany4518@gmail.com,16,8,Отлично! Это невероятно хороший магазин.,2017-12-4
Viola9758@hotmail.com,18,9,Это ну такое.,2015-1-17
Fred9195@hotmail.com,8,6,Хороший магазин.,2023-6-5
Victoria6899@hotmail.com,1,3,,2017-6-27
Lawrence9044@hotmail.com,15,1,Плохо! Мне не понравился магазин.,2013-11-2
Margaret7336@gmail.com,9,10,,2022-5-8
Doris8229@gmail.com,0,8,,2019-5-11
Albert8389@hotmail.com,6,2,,2019-3-9
Lucia6918@gmail.com,2,1,,2015-11-18
Michelle7685@gmail.com,15,10,,2015-11-16
Joseph4078@gmail.com,10,7,Плохо! Мне не понравился магазин.,2015-3-14
Jonnie5946@gmail.com,4,0,,2010-2-14
Jessica3874@gmail.com,6,6,,2012-8-21
Jeremy6270@hotmail.com,21,6,На самом деле хороший магазин!,2018-5-7
Larry6048@gmail.com,16,2,,2020-12-3
Mario1077@hotmail.com,19,0,Это ну такое.,2023-11-26
Wesley3845@hotmail.com,18,7,ФУ. Не куплю в этом магазине больше ничего.,2014-1-28
Vincent6069@hotmail.com,4,5,Отлично! Это невероятно хороший магазин.,2013-8-25
Jose6834@hotmail.com,17,5,ФУ. Не куплю в этом магазине больше ничего.,2023-2-5
Carolyn8831@hotmail.com,18,7,Плохо! Мне не понравился магазин.,2011-8-23
Margarita4442@gmail.com,17,4,Просто средний магазин.,2015-2-15
Emilie6896@gmail.com,15,10,,2013-11-28
Dana9461@gmail.com,14,0,Это ну такое.,2015-7-25
Steven5935@hotmail.com,15,9,Средненько! Это средний по сервису магазин.,2018-12-28
Paul3147@hotmail.com,12,0,Хороший магазин.,2022-8-10
James9737@gmail.com,8,2,,2023-11-8
Roger4685@hotmail.com,18,9,Плохо! Мне не понравился магазин.,2010-4-2
Maria4922@hotmail.com,11,4,Это ну такое.,2010-3-15
Andrew4549@hotmail.com,22,10,Это ну такое.,2018-12-5
Phyllis6949@gmail.com,12,10,,2022-1-13
Eva6181@gmail.com,3,6,,2015-7-16
Ricky5247@gmail.com,14,0,,2011-11-21
Donald2487@hotmail.com,4,5,Прекрасный магазин.,2021-4-5
Teresa2666@gmail.com,8,8,Прекрасный магазин.,2016-9-23
Joseph6272@hotmail.com,0,4,Хорошо! Это хороший магазин.,2012-4-26
Kevin2055@hotmail.com,8,1,,2013-6-1
George8133@hotmail.com,8,6,Плохо! Мне не понравился магазин.,2012-5-13
Nathaniel8799@hotmail.com,18,1,Прекрасный магазин.,2011-6-3
Kayla7733@gmail.com,19,9,,2018-7-21
Sarah3468@gmail.com,20,4,,2019-2-15
Raymond7987@hotmail.com,10,1,На самом деле хороший магазин!,2017-8-26
Edwin3349@gmail.com,2,2,"На самом деле прекрасный магазин, мне все понраивлос!",2021-3-2
Georgia8784@hotmail.com,19,6,Плохо! Мне не понравился магазин.,2018-1-25
Jose1752@gmail.com,0,10,,2019-1-16
Anthony5043@hotmail.com,13,9,,2023-7-26
Henry6542@gmail.com,12,4,,2018-4-16
Sandra5774@hotmail.com,7,5,,2015-11-8
Misty1538@gmail.com,1,5,Ну неплохо.,2010-8-18
Randall1591@gmail.com,3,8,ФУ. Не куплю в этом магазине больше ничего.,2022-1-6
Claude8425@hotmail.com,16,10,,2023-7-21
Burt6450@gmail.com,9,4,,2012-9-2
Richard1397@hotmail.com,12,2,Плохо! Мне не понравился магазин.,2018-1-16
Roberta9978@gmail.com,18,5,Это ну такое.,2023-11-1
Robin5547@gmail.com,22,5,,2023-2-2
Sergio4961@gmail.com,19,9,,2023-11-4
George2527@gmail.com,18,4,Плохо! Мне не понравился магазин.,2011-10-25
Wayne6417@gmail.com,6,8,Это ну такое.,2011-6-26
John6960@hotmail.com,10,0,Просто средний магазин.,2015-9-23
Jeff4134@gmail.com,21,8,Просто средний магазин.,2018-10-4
Sonia7251@hotmail.com,13,9,,2016-6-5
Jason3579@gmail.com,17,9,Это ну такое.,2010-7-27
Brandon9611@gmail.com,9,6,,2023-8-9
Patsy4966@gmail.com,15,3,,2019-5-23
Gilma4154@gmail.com,16,5,Плохо! Мне не понравился магазин.,2023-2-11
Michelle3889@gmail.com,7,8,,2012-5-11
Elaine2578@gmail.com,22,4,Это ну такое.,2013-1-5
Robert4356@hotmail.com,11,4,Плохо! Мне не понравился магазин.,2015-7-23
Marianne6162@gmail.com,10,1,Это ну такое.,2016-1-21
Ladonna2868@gmail.com,19,10,,2011-10-18
Kristi1762@hotmail.com,17,1,Отлично! Это невероятно хороший магазин.,2020-2-21
Sandra5941@hotmail.com,9,0,,2019-7-7
Ernest2145@gmail.com,16,10,ФУ. Не куплю в этом магазине больше ничего.,2017-7-4
Maile1897@gmail.com,10,9,,2020-7-5
Michael2922@gmail.com,12,10,,2011-5-9
Denise5432@gmail.com,20,1,Ну неплохо.,2011-3-26
Hugo3552@hotmail.com,14,9,,2017-1-15
Sonia4567@gmail.com,20,1,Отлично! Это невероятно хороший магазин.,2022-9-2
Willie8661@hotmail.com,19,2,Просто средний магазин.,2017-11-15
Anthony8010@gmail.com,9,5,Средненько! Это средний по сервису магазин.,2012-1-23
Adrian4885@hotmail.com,8,2,,2013-5-10
Mary1386@gmail.com,9,3,"На самом деле прекрасный магазин, мне все понраивлос!",2022-5-3
James9393@hotmail.com,13,1,Плохо! Мне не понравился магазин.,2014-7-23
Stephen4013@hotmail.com,10,4,"На самом деле прекрасный магазин, мне все понраивлос!",2010-6-15
Ronald4258@hotmail.com,21,9,Это ну такое.,2021-4-18
Jerry6018@hotmail.com,5,5,Плохо! Мне не понравился магазин.,2020-5-28
Frank8828@hotmail.com,6,6,,2011-1-25
David4269@hotmail.com,8,4,ФУ. Не куплю в этом магазине больше ничего.,2017-10-23
Tara4572@gmail.com,18,5,,2010-7-15
Bobby4357@gmail.com,8,6,,2022-6-7
Sally5276@gmail.com,8,8,Это ну такое.,2022-5-17
Valerie1767@hotmail.com,15,4,,2015-2-2
Tyler8354@hotmail.com,20,1,,2016-3-19
Beatrice1660@gmail.com,2,9,Хорошо! Это хороший магазин.,2010-5-27
Eddie8044@gmail.com,2,0,,2013-2-11
Carolyn2269@gmail.com,16,10,Отлично! Это невероятно хороший магазин.,2016-10-21
John5183@hotmail.com,4,6,,2018-1-18
Betty8626@hotmail.com,4,9,ФУ. Не куплю в этом магазине больше ничего.,2012-7-1
Salvatore1585@hotmail.com,16,7,Отлично! Это невероятно хороший магазин.,2020-2-27
Stephen6732@hotmail.com,0,6,На самом деле хороший магазин!,2019-9-11
Kenneth3111@gmail.com,0,1,,2015-2-4
William8957@gmail.com,3,4,,2019-7-7
Evelyn1398@gmail.com,4,4,,2014-9-23
Doris2335@gmail.com,19,6,Просто средний магазин.,2011-10-6
Carlos4757@hotmail.com,6,7,,2023-6-22
Samantha8822@gmail.com,5,0,Плохо! Мне не понравился магазин.,2016-9-22
Eric6127@gmail.com,20,8,,2022-7-12
Joseph8715@hotmail.com,7,7,Плохо! Мне не понравился магазин.,2020-9-13
Ernest4223@hotmail.com,5,5,,2010-3-7
Thomas8531@hotmail.com,17,0,Отлично! Это невероятно хороший магазин.,2022-8-9
Carlos6094@gmail.com,5,0,Плохо! Мне не понравился магазин.,2022-5-3
Barbara4036@hotmail.com,2,9,Ну неплохо.,2012-11-14
Bernice3827@gmail.com,14,5,Это ну такое.,2022-10-21
Mary3482@hotmail.com,9,9,"На самом деле прекрасный магазин, мне все понраивлос!",2017-1-25
Natalie6769@gmail.com,7,5,Отлично! Это невероятно хороший магазин.,2010-9-9
Michael6866@gmail.com,13,6,ФУ. Не куплю в этом магазине больше ничего.,2022-8-27
Carl7492@hotmail.com,19,7,"На самом деле прекрасный магазин, мне все понраивлос!",2015-8-23
Kenneth6517@gmail.com,22,7,,2013-12-27
Nathaniel1037@gmail.com,15,2,,2020-3-21
Erin4898@hotmail.com,13,8,Плохо! Мне не понравился магазин.,2012-4-26
Melinda1697@gmail.com,10,1,Плохо! Мне не понравился магазин.,2018-8-10
Beverly7290@hotmail.com,21,6,Хороший магазин.,2013-5-16
Marie9380@hotmail.com,15,8,Прекрасный магазин.,2017-12-21
Mary1373@gmail.com,18,3,ФУ. Не куплю в этом магазине больше ничего.,2023-3-19
Joseph9191@gmail.com,14,6,,2022-2-25
David2152@gmail.com,12,8,,2021-1-25
Celia1436@hotmail.com,2,0,Средненько! Это средний по сервису магазин.,2014-1-26
Carl9422@hotmail.com,11,0,Это ну такое.,2016-3-4
Jessica7725@gmail.com,17,4,Это ну такое.,2022-2-1
Christine2440@hotmail.com,17,10,Плохо! Мне не понравился магазин.,2014-2-3
Lawrence2068@hotmail.com,14,0,,2017-1-28
Randy5175@hotmail.com,8,8,На самом деле хороший магазин!,2023-10-17
Paula3450@hotmail.com,13,1,,2013-8-9
James1873@gmail.com,3,5,,2017-11-25
Anna5181@gmail.com,17,10,,2016-10-3
Ruby1745@gmail.com,11,10,Это ну такое.,2013-12-12
Marvin9598@gmail.com,0,9,Это ну такое.,2014-11-14
Julie5828@hotmail.com,2,0,Ну неплохо.,2015-2-17
Ryan3614@gmail.com,22,5,Плохо! Мне не понравился магазин.,2010-11-9
Mildred3142@gmail.com,18,1,Это ну такое.,2017-6-25
John6557@hotmail.com,1,9,Это ну такое.,2014-5-18
Evangelina3264@hotmail.com,12,10,,2018-11-11
Brent9846@hotmail.com,9,6,,2015-12-18
Yolanda8288@gmail.com,4,7,Просто средний магазин.,2013-2-16
Whitney8948@gmail.com,5,7,,2021-2-10
Princess4738@hotmail.com,6,1,Плохо! Мне не понравился магазин.,2021-12-2
Cheri4112@hotmail.com,21,7,Хороший магазин.,2020-4-7
Sharon5046@gmail.com,15,5,,2018-2-7
James5548@hotmail.com,1,3,,2023-4-5
Anthony8189@hotmail.com,18,6,Прекрасный магазин.,2013-2-22
David6662@hotmail.com,22,8,Средненько! Это средний по сервису магазин.,2018-2-7
Patricia6297@hotmail.com,8,5,,2023-9-12
Susan4250@gmail.com,9,9,,2013-3-1
David3246@gmail.com,1,7,,2020-4-3
Robert1835@hotmail.com,20,8,Отлично! Это невероятно хороший магазин.,2019-2-6
Harold9771@hotmail.com,17,3,На самом деле хороший магазин!,2013-11-21
Walter9652@hotmail.com,22,8,Отлично! Это невероятно хороший магазин.,2023-12-25
Kathryn4026@gmail.com,22,5,,2010-9-27
Charles5023@hotmail.com,6,9,,2022-1-11
Marvin4493@hotmail.com,6,6,Прекрасный магазин.,2011-12-14
Larry1417@hotmail.com,0,0,,2019-8-11
Sandra5153@hotmail.com,11,9,"На самом деле прекрасный магазин, мне все понраивлос!",2019-12-4
Charles3977@hotmail.com,16,7,,2015-1-23
Janette3918@hotmail.com,6,5,Это ну такое.,2020-6-2
